release_item,release_label,source,auction_id,sale_date,price_jpy,condition_evidence,identity_evidence,status,exclusion_reason,source_url
18031,Avante 2001 Jr. — 1990 Original Zero,Yahoo Auctions,,2026-04-20,4900,"unused","18052; VS chassis","exclude_variant","different Release: 18052 VS chassis","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%82%A2%E3%83%90%E3%83%B3%E3%83%862001/0"
18031,Avante 2001 Jr. — 1990 Original Zero,Yahoo Auctions,,2026-04-24,15500,"unused","Avante 2001 Jr. Black Special","exclude_variant","different Black Special Release","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%82%A2%E3%83%90%E3%83%B3%E3%83%862001/0"
18032,Crimson Glory — 1990 Original FM,Yahoo Auctions,,2026-01-18,11000,"unbuilt","Crimson Glory; FM chassis","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%82%AF%E3%83%AA%E3%83%A0%E3%82%BE%E3%83%B3%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%AA%E3%83%BC%20%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86/0"
18032,Crimson Glory — 1990 Original FM,Yahoo Auctions,,2026-02-19,7500,"unused but box and some parts missing","18032; old FM","exclude_incomplete","box/parts incomplete","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%82%AF%E3%83%AA%E3%83%A0%E3%82%BE%E3%83%B3%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%AA%E3%83%BC%20%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86/0"
18032,Crimson Glory — 1990 Original FM,Yahoo Auctions,,2026-01-17,19000,"unused; unbuilt","Crimson Glory + Neo Burning Sun two-kit lot; FM","exclude_lot","two-kit lot cannot be assigned to one Release","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%82%AF%E3%83%AA%E3%83%A0%E3%82%BE%E3%83%B3%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%AA%E3%83%BC%20%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86/0"
18034,Dash-02 Neo Burning Sun — 1991 Original FM,Yahoo Auctions,,2026-05-17,10000,"unbuilt","絶版; 当時物; exact Neo Burning Sun","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%8D%E3%82%AA%E3%83%90%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%B3/0"
18034,Dash-02 Neo Burning Sun — 1991 Original FM,Yahoo Auctions,,2026-05-10,11000,"unbuilt","初期; box art present; FM chassis","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%8D%E3%82%AA%E3%83%90%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%B3/0"
18034,Dash-02 Neo Burning Sun — 1991 Original FM,Yahoo Auctions,,2026-05-10,10500,"not explicitly stated in surfaced snippet","Dash-02 Neo Burning Sun; 1991 Tamiya","quarantine_condition","condition/completeness needs listing-level confirmation","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%8D%E3%82%AA%E3%83%90%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%B3/0"
18034,Dash-02 Neo Burning Sun — 1991 Original FM,Yahoo Auctions,,2026-04-19,10050,"unbuilt","当時物; exact Neo Burning Sun","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%8D%E3%82%AA%E3%83%90%E3%83%BC%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%B3/0"
18034,Dash-02 Neo Burning Sun — 1991 Original FM,Yahoo Auctions,,2026-05-16,1600,"body only","Neo Burning Sun body","exclude_parts","body-only listing","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%8D%E3%82%AA%E3%83%90%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%B3/0"
18038,Proto Emperor ZX — 1992 Original Zero,Yahoo Auctions,,2026-04-13,9250,"unused","初版; Zero chassis; 当時物","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%97%E3%83%AD%E3%83%88%E3%82%A8%E3%83%B3%E3%83%9A%E3%83%A9%E3%83%BC/0"
18038,Proto Emperor ZX — 1992 Original Zero,Yahoo Auctions,,2026-04-13,9500,"unused; unbuilt","当時物; Proto Emperor ZX","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%97%E3%83%AD%E3%83%88%E3%82%A8%E3%83%B3%E3%83%9A%E3%83%A9%E3%83%BC/0"
18038,Proto Emperor ZX — 1992 Original Zero,Yahoo Auctions,,2026-04-18,12000,"not sufficiently period-specific","18038; Proto Emperor ZX","quarantine_shared_item","18038 is reused by 2007 reissue; listing lacks surfaced period evidence","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%97%E3%83%AD%E3%83%88%E3%82%A8%E3%83%B3%E3%83%9A%E3%83%A9%E3%83%BC/0"
18038,Proto Emperor ZX — 1992 Original Zero,Yahoo Auctions,,2026-04-14,8000,"unused; unbuilt","No.38; Zero chassis","quarantine_shared_item","Zero chassis and item 18038 do not distinguish 1992 from 2007 reissue","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%97%E3%83%AD%E3%83%88%E3%82%A8%E3%83%B3%E3%83%9A%E3%83%A9%E3%83%BC/0"
